hhno	day	dow	jttours	phtours	fhtours	hdexpfac
100140	1	5	0	0	0	40.0757
100206	1	4	0	0	0	61.3528
100291	1	2	0	0	0	143.3642
100355	1	3	0	0	0	89.1464
100374	1	4	0	0	0	109.544
100449	1	1	0	0	0	22.5154
100503	1	3	0	0	0	49.8492
100601	1	1	0	0	0	90.7767
100663	1	2	0	0	0	194.4566
100677	1	1	0	0	0	318.265
100702	1	2	0	0	0	231.0166
101057	1	5	0	0	0	407.8757
101096	1	2	0	0	0	259.1803
101113	1	3	0	0	0	238.5658
101175	1	5	0	0	0	414.8827
101182	1	5	0	0	0	25.0671
101191	1	5	0	0	0	217.13400000000001
101258	1	2	0	0	0	41.1715
101297	1	4	0	0	0	19.8642
101461	1	4	0	0	0	422.6865
101973	1	5	0	0	0	54.6678
101983	1	2	0	0	0	34.2671
102040	1	2	0	0	0	42.7477
102082	1	1	0	0	0	32.9846
102146	1	2	0	0	0	281.5331
102155	1	5	0	0	0	53.1133
102212	1	2	0	0	0	111.9533
102239	1	5	0	0	0	112.7101
102372	1	2	0	0	0	617.1913
102586	1	2	0	0	0	96.0507
102600	1	5	0	0	0	33.6419
102638	1	4	0	0	0	87.8844
102718	1	1	0	0	0	216.3598
102859	1	4	0	0	0	160.8549
102979	1	4	0	0	0	32.2578
103024	1	1	0	0	0	139.9891
103087	1	2	0	0	0	583.351
103105	1	5	0	0	0	99.2689
103132	1	3	0	0	0	764.7753
103846	1	2	0	0	0	312.625
103923	1	4	0	0	0	77.9312
104207	1	3	0	0	0	121.7663
104212	1	4	0	0	0	449.6522
104316	1	4	0	0	0	35.5544
104647	1	2	0	0	0	28.4755
104656	1	2	0	0	0	733.2581
104899	1	4	0	0	0	101.0027
104900	1	1	0	0	0	399.11
104915	1	2	0	0	0	146.4536
105152	1	3	0	0	0	37.0753
105196	1	4	0	0	0	63.1584
105258	1	2	0	0	0	30.7999
105567	1	2	0	0	0	223.2883
105666	1	3	0	0	0	124.821
105824	1	2	0	0	0	158.1791
105889	1	4	0	0	0	76.9365
105995	1	5	0	0	0	99.2763
106054	1	5	0	0	0	86.9534
106085	1	3	0	0	0	91.5661
106313	1	2	0	0	0	148.6062
106434	1	4	0	0	0	719.2548
106452	1	3	0	0	0	114.884
106462	1	5	0	0	0	177.41400000000002
106667	1	2	0	0	0	68.113
106832	1	2	0	0	0	89.1893
106945	1	1	0	0	0	53.9755
106959	1	2	0	0	0	210.4633
106963	1	4	0	0	0	60.0449
107001	1	4	0	0	0	203.6197
107047	1	1	0	0	0	87.9388
107084	1	3	0	0	0	213.3314
107307	1	3	0	0	0	39.7276
107343	1	3	0	0	0	187.0683
107345	1	1	0	0	0	382.3255
107432	1	3	0	0	0	43.0067
107493	1	5	0	0	0	71.0637
107653	1	4	0	0	0	1009.1246
107798	1	5	0	0	0	482.9108
107805	1	3	0	0	0	118.5198
107923	1	2	0	0	0	73.42
107997	1	2	0	0	0	60.9864
108089	1	1	0	0	0	112.9065
108137	1	1	0	0	0	54.4939
108198	1	3	0	0	0	585.6911
108318	1	5	0	0	0	330.3014
108759	1	5	0	0	0	217.0211
108857	1	4	0	0	0	93.6142
108901	1	4	0	0	0	67.7821
108918	1	3	0	0	0	304.3931
109088	1	2	0	0	0	276.7605
109144	1	4	0	0	0	535.2679
109201	1	3	0	0	0	147.0312
109353	1	5	0	0	0	252.0446
