hhno	pno	pptyp	pagey	pgend	pwtyp	pwpcl	pwtaz	pwautime	pwaudist	pstyp	pspcl	pstaz	psautime	psaudist	puwmode	puwarrp	puwdepp	ptpass	ppaidprk	pdiary	pproxy	psexpfac
100140	1	2	68	2	2	74268	20225	5.1370000000000005	0.635	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	40.0757
100140	2	1	64	2	1	13510	2615	114.95700000000001	13.337	0	-1	-1	-1.0	-1.0	3	0	0	0	1	-1	3	40.0757
100206	1	1	53	1	1	1058	114	39.135999999999996	14.511	0	-1	-1	-1.0	-1.0	6	0	0	0	1	-1	3	61.3528
100206	2	1	53	2	1	75319	20249	5.647	1.65	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	61.3528
100206	3	2	21	1	2	76460	20407	14.152999999999999	8.062999999999999	0	-1	-1	-1.0	-1.0	1	0	0	0	0	-1	3	61.3528
100291	1	1	28	1	1	75854	20270	24.301	9.586	0	-1	-1	-1.0	-1.0	0	0	3	0	0	-1	3	143.3642
100291	2	2	28	2	2	6486	1014	101.26299999999999	20.763	0	-1	-1	-1.0	-1.0	3	8	8	0	0	-1	3	143.3642
100291	3	8	4	1	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	143.3642
100291	4	8	2	2	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	143.3642
100291	5	8	1	1	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	143.3642
100355	1	1	53	2	1	59059	15614	46.011	16.885	0	-1	-1	-1.0	-1.0	3	8	8	0	0	-1	2	89.1464
100374	1	2	40	2	2	72775	20072	10.627	3.97	0	-1	-1	-1.0	-1.0	3	5	0	0	0	-1	3	109.544
100374	2	4	39	1	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	109.544
100374	3	7	11	2	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	109.544
100374	4	7	7	2	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	109.544
100449	1	4	58	1	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	22.5154
100449	2	4	57	2	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	22.5154
100503	1	1	55	1	1	64910	18023	34.833	16.993	0	-1	-1	-1.0	-1.0	5	6	3	1	0	-1	2	49.8492
100503	2	1	45	2	1	71260	20026	5.478	0.8440000000000001	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	2	49.8492
100601	1	1	46	1	1	168362	54525	44.262	40.835	0	-1	-1	-1.0	-1.0	3	2	1	0	0	-1	3	90.7767
100601	2	1	46	2	1	65657	18204	7.952999999999999	3.3339999999999996	0	-1	-1	-1.0	-1.0	3	7	4	0	0	-1	3	90.7767
100601	3	6	17	1	0	0	0	-1.0	-1.0	1	69113	18812	40.663000000000004	11.569	0	0	0	0	0	-1	3	90.7767
100601	4	7	12	2	0	0	0	-1.0	-1.0	1	69113	18812	40.663000000000004	11.569	0	0	0	0	0	-1	3	90.7767
100663	1	3	81	2	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	194.4566
100677	1	1	68	1	1	79095	20637	15.19	8.693999999999999	0	-1	-1	-1.0	-1.0	3	5	5	0	0	-1	2	318.265
100677	2	2	64	2	2	72266	20053	49.333999999999996	26.013	0	-1	-1	-1.0	-1.0	3	0	3	0	0	-1	2	318.265
100702	1	3	66	2	0	81548	20839	20.642	11.677	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	231.0166
100702	2	1	74	1	1	79298	20641	6.388999999999999	2.4730000000000003	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	231.0166
101057	1	3	68	1	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	407.8757
101096	1	1	36	2	1	75542	20256	17.756	5.587000000000001	0	-1	-1	-1.0	-1.0	3	7	0	0	0	-1	2	259.1803
101096	2	1	37	1	1	75542	20256	17.756	5.587000000000001	0	-1	-1	-1.0	-1.0	3	8	0	0	0	-1	2	259.1803
101096	3	8	1	2	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	2	259.1803
101113	1	4	62	1	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	2	238.5658
101175	1	4	57	1	0	0	0	-1.0	-1.0	0	-1	-1	-1.0	-1.0	0	0	0	0	0	-1	3	414.8827
