hhno	pno	day	tour	jtindex	parent	subtrs	pdpurp	tlvorig	tardest	tlvdest	tarorig	toadtyp	tdadtyp	topcl	totaz	tdpcl	tdtaz	tmodetp	tpathtp	tautotime	tautocost	tautodist	tripsh1	tripsh2	phtindx1	phtindx2	fhtindx1	fhtindx2	toexpfac
100140	1	1	1	-1	0	0	5	1100	1137	1207	1320	1	4	74268	20225	85981	22231	3	0	8.575	0	2.241	2	3	-1	-1	-1	-1	40.0757
100140	2	1	1	-1	0	0	1	530	600	1530	1900	1	2	74268	20225	13510	2615	4	0	114.95700000000001	0	13.337	1	2	-1	-1	-1	-1	40.0757
100206	1	1	1	-1	0	0	1	739	835	1750	1845	1	2	75319	20249	1058	114	7	4	39.135999999999996	0	14.511	2	2	-1	-1	-1	-1	61.3528
100206	2	1	1	-1	0	0	1	1430	1510	1945	2005	1	4	75319	20249	77594	20442	3	0	28.987	0	12.692	2	1	-1	-1	-1	-1	61.3528
100206	3	1	1	-1	0	0	1	1100	1130	1800	1830	1	2	75319	20249	76460	20407	1	0	14.267000000000001	0	8.044	1	1	-1	-1	-1	-1	61.3528
100291	1	1	1	-1	0	0	1	850	934	1625	1705	1	2	72042	20048	75854	20270	3	0	21.188000000000002	0	9.317	3	2	-1	-1	-1	-1	143.3642
100355	1	1	1	-1	0	0	5	1118	1145	1223	1233	1	4	71866	20042	72003	20047	3	0	10.253	0	5.289	3	1	-1	-1	-1	-1	89.1464
100374	1	1	1	-1	0	0	1	740	750	1230	1239	1	2	70390	20002	72775	20072	3	0	10.627	0	3.97	1	1	-1	-1	-1	-1	109.544
100374	1	1	2	-1	0	0	7	1525	1537	1800	1813	1	4	70390	20002	72781	20072	5	0	10.547	0	3.9960000000000004	1	1	-1	-1	-1	-1	109.544
100374	2	1	1	-1	0	0	4	1740	1740	1807	1830	1	4	70390	20002	76050	20277	3	0	24.026	0	9.738	1	1	-1	-1	-1	-1	109.544
100374	2	1	2	-1	0	0	4	1918	1918	2200	2204	1	4	70390	20002	70387	20002	3	0	5.394	0	1.256	1	1	-1	-1	-1	-1	109.544
