TAZ,CPA
1,103
2,103
3,103
4,103
5,103
6,103
7,103
8,103
9,103
10,103
11,103
12,103
13,103
14,103
15,103
16,103
17,103
18,103
19,103
20,103
21,103
22,103
23,103
24,103
25,103
26,103
27,103
28,103
29,103
30,103
31,103
32,103
33,103
34,103
35,103
36,103
37,103
38,103
39,103
40,103
41,103
42,103
43,103
44,103
45,103
46,103
47,103
48,103
49,103
50,103
51,103
52,103
53,103
54,103
55,103
56,103
57,103
58,103
59,103
60,103
61,103
62,103
63,103
64,103
65,103
66,103
67,103
68,103
69,103
70,103
71,103
72,103
73,103
74,103
75,103
76,103
77,103
78,103
79,103
80,103
81,103
82,103
83,103
84,103
85,103
86,103
87,103
88,103
89,103
90,103
91,103
92,103
93,103
94,103
95,103
96,103
97,103
98,103
99,103
100,103
101,103
102,103
103,103
104,103
105,103
106,103
107,103
108,103
109,103
110,103
111,103
112,103
113,103
114,103
115,103
116,103
117,103
118,103
119,103
120,103
121,103
122,103
123,103
124,103
125,103
126,103
127,103
128,103
129,103
130,103
131,103
132,103
133,103
134,103
135,103
136,103
137,103
138,103
139,103
140,103
141,103
142,103
143,103
401,107
402,107
403,107
404,107
405,107
406,107
407,107
408,107
409,107
410,107
411,107
412,107
413,107
414,107
415,107
416,107
417,107
418,107
419,107
420,107
421,107
422,107
423,107
424,107
425,107
426,107
427,107
428,107
429,107
430,107
431,107
432,107
433,107
434,107
435,107
601,109
602,109
603,109
604,109
605,109
606,109
607,109
608,109
609,109
610,109
611,109
612,109
613,109
614,109
615,109
616,109
617,109
618,109
619,109
620,109
621,109
622,109
623,109
624,109
625,109
626,109
627,109
628,109
629,109
630,109
801,112
802,112
803,112
804,112
805,112
806,112
807,112
808,112
809,112
810,112
811,112
812,112
813,112
814,112
815,112
816,112
817,112
818,112
819,112
820,112
821,112
822,112
823,112
824,112
825,112
826,112
827,112
828,112
829,112
830,112
831,112
832,112
833,112
834,112
835,112
836,112
837,112
838,112
839,112
840,112
841,112
842,112
843,112
844,112
845,112
846,112
847,112
848,112
849,112
1001,110
1002,110
1003,110
1004,110
1005,110
1006,110
1007,110
1008,110
1009,110
1010,110
1011,110
1012,110
1013,110
1014,110
1015,110
1016,110
1017,110
1018,110
1019,110
1020,110
1021,110
1022,110
1023,110
1024,110
1025,110
1026,110
1027,110
1028,110
1029,110
1030,110
1031,110
1032,110
1033,110
1034,110
1035,110
1036,110
1037,110
1038,110
1039,110
1040,110
1201,111
1202,111
1203,111
1204,111
1205,111
1206,111
1207,111
1208,111
1209,111
1210,111
1211,111
1212,111
1213,111
1214,111
1215,111
1216,111
1217,111
1218,111
1219,111
1220,111
1221,111
1222,111
1223,111
1224,111
1225,111
1226,111
1227,111
1228,111
1229,111
1230,111
1231,111
1232,111
1233,111
1234,111
1235,111
1236,111
1237,111
1401,101
1402,101
1403,101
1404,101
1405,101
1406,101
1407,101
1408,101
1409,101
1410,101
1411,101
1412,101
1413,101
1414,101
1415,101
1416,101
1417,101
1418,101
1419,101
1420,101
1421,101
1422,101
1423,101
1424,101
1425,101
1426,101
1427,101
1428,101
1429,101
1430,101
1431,101
1432,101
1433,101
1434,101
1435,101
1436,101
1437,101
1438,101
1439,101
1440,101
1441,101
1442,101
1443,101
1444,101
1445,101
1601,114
1602,114
1603,114
1604,114
1605,114
1606,114
1607,114
1608,114
1609,114
1610,114
1611,114
1612,114
1613,114
1614,114
1615,114
1616,114
1617,114
1618,114
1619,114
1620,114
1621,114
1622,114
1623,114
1624,114
1625,114
1626,114
1627,114
1628,114
1801,105
1802,105
1803,105
1804,105
1805,105
1806,105
1807,105
1808,105
1809,105
1810,105
1811,105
1812,105
1813,105
1814,105
1815,105
1816,105
1817,105
1818,105
1819,105
1820,105
1821,105
1822,105
2001,102
2002,102
2003,102
2004,102
2005,102
2006,102
2007,102
2008,102
2009,102
2010,102
2011,102
2012,102
2013,102
2014,102
2015,102
2016,102
2017,102
2018,102
2019,102
2020,102
2021,102
2022,102
2023,102
2201,106
2202,106
2203,106
2204,106
2205,106
2206,106
2207,106
2208,106
2209,106
2210,106
2211,106
2212,106
2213,106
2214,106
2215,106
2216,106
2217,106
2218,111
2401,117
2402,117
2403,117
2404,117
2405,117
2406,117
2407,117
2408,117
2409,117
2410,117
2411,117
2412,117
2413,117
2414,117
2415,117
2416,117
2417,117
2418,117
2419,117
2420,117
2421,117
2422,117
2423,117
2424,117
2425,117
2426,117
2427,117
2428,117
2429,117
2430,117
2431,117
2432,117
2433,117
2434,117
2435,117
2436,117
2437,117
2438,117
2439,117
2440,117
2441,117
2442,117
2601,115
2602,115
2603,115
2604,115
2605,115
2606,115
2607,115
2608,115
2609,115
2610,115
2611,115
2612,115
2613,115
2614,115
2615,115
2616,115
2617,115
2618,115
2619,115
2620,115
2621,115
2622,115
2623,115
2624,115
2625,115
2626,115
2627,115
2628,115
2629,115
2630,115
2631,115
2632,115
2633,115
2634,115
2635,115
2636,115
2637,115
2638,115
2639,115
2640,115
2641,115
2642,115
2643,115
2644,115
2645,115
2646,115
2801,118
2802,118
2803,118
2804,118
2805,118
2806,118
2807,118
2808,118
2809,118
2810,118
2811,118
2812,118
2813,118
2814,118
2815,118
2816,118
2817,118
2818,118
2819,118
2820,118
2821,118
2822,118
2823,118
2824,118
2825,118
3001,104
3002,104
3003,104
3004,104
3005,104
3006,104
3007,104
3008,104
3009,104
3010,104
3011,104
3012,104
3013,104
3014,104
3015,104
3016,104
3017,104
3018,104
3019,104
3020,104
3021,104
3022,104
3023,104
3024,104
3025,104
3026,104
3027,104
3028,104
3029,104
3030,104
3031,104
3032,104
3033,104
3034,104
3201,108
3202,108
3203,108
3204,108
3205,108
3206,108
3207,108
3208,108
3209,108
3210,108
3211,108
3212,108
3213,108
3214,108
3215,108
3216,108
3217,108
3218,108
3219,108
3220,108
3221,108
3222,108
3401,113
3402,113
3403,113
3404,113
3405,113
3406,113
3407,113
3408,113
3409,113
3410,113
3411,113
3412,113
3413,113
3414,113
3415,113
3416,113
3417,113
3418,113
3419,113
3420,113
3421,113
3422,113
3423,113
3601,116
3602,116
3603,116
3604,116
3605,116
3606,116
3607,116
3608,116
3609,116
3610,116
3611,116
3612,116
3613,116
3614,116
3615,116
3616,116
3617,116
3618,116
3619,116
3620,116
3621,116
3622,116
3623,116
3624,116
3625,116
3626,116
4001,201
4002,201
4003,201
4004,201
4005,201
4006,201
4007,201
4008,201
4009,201
4010,201
4011,201
4012,201
4013,201
4014,201
4015,201
4016,201
4017,201
4018,201
4019,201
4020,201
4021,201
4022,201
4023,201
4024,201
4025,201
4026,201
4027,201
4028,201
4029,201
4030,201
4031,201
4032,201
4033,201
4034,201
4035,201
4036,201
4037,201
4038,201
4039,201
4040,201
4041,201
4042,201
4043,201
4044,201
4045,201
4046,201
4047,201
4048,201
4049,201
4050,201
4051,201
4052,201
4201,202
4202,202
4203,202
4204,202
4205,202
4206,202
4207,202
4208,202
4209,202
4210,202
4211,202
4212,202
4213,202
4214,202
4215,202
4216,202
4217,202
4218,202
4219,202
4220,202
4221,202
4222,202
4223,202
4224,202
4225,202
4226,202
4227,202
4228,202
4229,202
4230,202
4231,202
4232,202
4233,202
4234,202
4235,202
4236,202
4237,202
4238,202
4239,202
4240,202
4241,202
4242,202
4243,202
4244,202
4245,202
4246,202
4247,202
4248,202
4249,202
4250,202
4251,202
4252,202
4253,202
4254,202
4255,202
4256,202
4257,202
4258,202
4259,202
4401,203
4402,203
4403,203
4404,203
4405,203
4406,203
4407,203
4408,203
4409,203
4410,203
4411,203
4412,203
4413,203
4414,203
4415,203
4416,203
4417,203
4418,203
4419,203
4420,203
4421,203
4422,203
4423,203
4424,203
4425,203
4426,203
4427,203
4428,203
4429,203
4430,203
4431,203
4432,203
4433,203
4434,203
4435,203
4436,203
4437,203
4438,203
4439,203
4440,203
4441,203
4442,203
4443,203
4444,203
4445,203
4446,203
4447,203
4448,203
4449,203
4450,203
4451,203
4452,203
4453,203
4454,203
4455,203
4456,203
4457,203
4458,203
4459,203
4460,203
4461,203
4462,203
4463,203
4464,203
4465,203
4466,203
4467,203
4601,204
4602,204
4603,204
4604,204
4605,204
4606,204
4607,204
4608,204
4609,204
4610,204
4611,204
4612,204
4613,204
4614,204
4615,204
4616,204
4617,204
4618,204
4619,204
4620,204
4621,204
4622,204
4623,204
4624,204
4801,205
4802,205
4803,205
4804,205
4805,205
4806,205
4807,205
4808,205
4809,205
4810,205
4811,205
4812,205
4813,205
4814,205
4815,205
4816,205
4817,205
4818,205
4819,205
4820,205
4821,205
4822,205
4823,205
4824,205
4825,205
4826,205
4827,205
4828,205
4829,205
4830,205
4831,205
4832,205
4833,205
5001,206
5002,206
5003,206
5004,206
5005,206
5006,206
5007,206
5008,206
5009,206
5010,206
5011,206
5012,206
5013,206
5014,206
5015,206
5016,206
5017,206
5018,206
5019,206
5020,206
5021,206
5022,206
5023,206
5024,206
5025,206
5026,206
5027,206
5028,206
5029,206
5030,206
5031,206
5032,206
5033,206
5034,206
5035,206
5036,206
5037,206
5038,206
5039,206
5040,206
5041,206
5042,206
5043,206
5044,206
5045,206
5046,206
